"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2016","66.235","66.209","66.261","66.125","","0.04%"
"01/04/2016","66.579","66.165","66.660","66.165","","0.52%"
"01/05/2016","66.481","66.599","66.658","66.423","","-0.15%"
"01/06/2016","66.699","66.499","66.905","66.479","","0.33%"
"01/07/2016","66.891","66.712","66.981","66.507","","0.29%"
"01/08/2016","66.847","66.891","66.930","66.595","","-0.07%"
"01/11/2016","66.760","66.874","66.965","66.701","","-0.13%"
"01/12/2016","66.946","66.766","66.975","66.735","","0.28%"
"01/13/2016","66.917","66.947","66.953","66.725","","-0.04%"
"01/14/2016","67.316","66.918","67.490","66.917","","0.60%"
"01/15/2016","67.775","67.328","67.869","67.250","","0.68%"
"01/18/2016","67.661","67.791","67.791","67.495","","-0.17%"
"01/19/2016","67.734","67.662","67.801","67.523","","0.11%"
"01/20/2016","67.958","67.734","68.173","67.731","","0.33%"
"01/21/2016","67.800","67.955","68.113","67.797","","-0.23%"
"01/22/2016","67.549","67.826","67.869","67.548","","-0.37%"
"01/25/2016","67.755","67.579","67.845","67.507","","0.30%"
"01/26/2016","67.739","67.727","67.909","67.697","","-0.02%"
"01/27/2016","68.144","67.766","68.185","67.739","","0.60%"
"01/28/2016","68.053","68.150","68.260","68.014","","-0.13%"
"01/29/2016","67.878","68.053","68.181","67.780","","-0.26%"
"02/01/2016","67.835","67.878","67.971","67.635","","-0.06%"
"02/02/2016","67.975","67.817","68.043","67.767","","0.21%"
"02/03/2016","67.935","67.977","68.268","67.929","","-0.06%"
"02/04/2016","67.545","67.760","67.896","67.524","","-0.57%"
"02/05/2016","67.810","67.546","67.840","67.495","","0.39%"
"02/08/2016","68.034","67.880","68.068","67.775","","0.33%"
"02/09/2016","67.901","68.054","68.215","67.881","","-0.20%"
"02/10/2016","67.861","67.910","68.003","67.798","","-0.06%"
"02/11/2016","68.471","67.862","68.489","67.785","","0.90%"
"02/12/2016","68.118","68.471","68.496","68.110","","-0.52%"
"02/15/2016","68.131","68.119","68.270","68.005","","0.02%"
"02/16/2016","68.474","68.140","68.512","68.061","","0.50%"
"02/17/2016","68.329","68.482","68.685","68.314","","-0.21%"
"02/18/2016","68.542","68.322","68.595","68.316","","0.31%"
"02/19/2016","68.545","68.531","68.686","68.521","","0.00%"
"02/22/2016","68.533","68.690","68.727","68.500","","-0.02%"
"02/23/2016","68.561","68.553","68.683","68.455","","0.04%"
"02/24/2016","68.432","68.561","68.672","68.386","","-0.19%"
"02/25/2016","68.768","68.431","68.909","68.384","","0.49%"
"02/26/2016","68.737","68.779","68.860","68.625","","-0.05%"
"02/29/2016","68.208","68.737","68.792","68.203","","-0.77%"
"03/01/2016","67.753","68.206","68.355","67.677","","-0.67%"
"03/02/2016","67.395","67.599","67.778","67.392","","-0.53%"
"03/03/2016","67.122","67.410","67.462","67.122","","-0.41%"
"03/04/2016","66.938","67.122","67.348","66.881","","-0.27%"
"03/07/2016","66.989","66.989","67.156","66.933","","0.08%"
"03/08/2016","67.313","66.989","67.465","66.989","","0.48%"
"03/09/2016","67.128","67.325","67.510","67.062","","-0.27%"
"03/10/2016","67.302","67.128","67.373","66.895","","0.26%"
"03/11/2016","66.921","67.304","67.352","66.901","","-0.57%"
"03/14/2016","67.138","66.973","67.246","66.875","","0.32%"
"03/15/2016","67.372","67.138","67.413","67.136","","0.35%"
"03/16/2016","67.173","67.371","67.455","67.173","","-0.30%"
"03/17/2016","66.619","66.905","66.953","66.600","","-0.82%"
"03/18/2016","66.384","66.625","66.695","66.256","","-0.35%"
"03/21/2016","66.500","66.383","66.572","66.383","","0.17%"
"03/22/2016","66.755","66.500","66.835","66.485","","0.38%"
"03/23/2016","66.931","66.755","66.956","66.618","","0.26%"
"03/24/2016","66.916","66.930","66.948","66.822","","-0.02%"
"03/25/2016","66.829","66.916","66.928","66.740","","-0.13%"
"03/28/2016","66.608","66.790","66.921","66.511","","-0.33%"
"03/29/2016","66.375","66.610","66.660","66.366","","-0.35%"
"03/30/2016","66.375","66.340","66.531","66.270","","0.00%"
