"Date","Price","Open","High","Low","Vol.","Change %"
"23-08-2026","3,186.00","2,882.00","3,186.00","2,882.00","","12.14%"
"16-08-2026","2,841.00","2,791.00","2,841.00","2,791.00","","-0.77%"
"09-08-2026","2,863.00","2,863.00","2,863.00","2,863.00","","-7.32%"
"02-08-2026","3,089.00","2,936.00","3,089.00","2,936.00","","13.07%"
"26-07-2026","2,732.00","2,732.00","2,732.00","2,732.00","","-0.40%"
"19-07-2026","2,743.00","2,743.00","2,743.00","2,743.00","","-0.33%"
"12-07-2026","2,752.00","2,752.00","2,752.00","2,752.00","","-6.52%"
"05-07-2026","2,944.00","2,944.00","2,944.00","2,944.00","","8.35%"
"28-06-2026","2,717.00","2,717.00","2,717.00","2,717.00","","7.65%"
"21-06-2026","2,524.00","2,524.00","2,524.00","2,524.00","","-7.27%"
"14-06-2026","2,722.00","2,722.00","2,722.00","2,722.00","","-3.41%"
"07-06-2026","2,818.00","2,818.00","2,818.00","2,818.00","","-5.47%"
"31-05-2026","2,981.00","2,981.00","2,981.00","2,981.00","","-7.54%"
"24-05-2026","3,224.00","3,226.00","3,226.00","3,224.00","","7.79%"
"17-05-2026","2,991.00","2,991.00","2,991.00","2,991.00","","-5.08%"
"10-05-2026","3,151.00","3,151.00","3,151.00","3,151.00","","5.81%"
"03-05-2026","2,978.00","2,978.00","2,978.00","2,978.00","","9.08%"
"26-04-2026","2,730.00","2,730.00","2,730.00","2,730.00","","2.44%"
"19-04-2026","2,665.00","2,665.00","2,665.00","2,665.00","","3.82%"
"12-04-2026","2,567.00","2,567.00","2,567.00","2,567.00","","16.63%"
"05-04-2026","2,201.00","2,201.00","2,201.00","2,201.00","","6.53%"
"29-03-2026","2,066.00","2,066.00","2,066.00","2,066.00","","1.72%"
"22-03-2026","2,031.00","2,014.00","2,031.00","2,014.00","","-1.22%"
"15-03-2026","2,056.00","2,057.00","2,057.00","2,056.00","","1.38%"
"08-03-2026","2,028.00","2,028.00","2,028.00","2,028.00","","0.90%"
"01-03-2026","2,010.00","2,010.00","2,010.00","2,010.00","","-6.07%"
"22-02-2026","2,140.00","2,140.00","2,140.00","2,140.00","","4.75%"
"15-02-2026","2,043.00","2,095.00","2,095.00","2,019.00","","-1.92%"
"08-02-2026","2,083.00","2,083.00","2,083.00","2,083.00","","8.32%"
