date,year,month,commodity,category,unit,currency,price
2010-01-01,2010,1,Copper,industrial_metal,tonne,USD,7400.0
2010-01-04,2010,1,Copper,industrial_metal,tonne,USD,7459.4239
2010-01-05,2010,1,Copper,industrial_metal,tonne,USD,7260.6365
2010-01-06,2010,1,Copper,industrial_metal,tonne,USD,7422.8453
2010-01-07,2010,1,Copper,industrial_metal,tonne,USD,7600.0626
2010-01-08,2010,1,Copper,industrial_metal,tonne,USD,7206.473
2010-01-11,2010,1,Copper,industrial_metal,tonne,USD,7011.0697
2010-01-12,2010,1,Copper,industrial_metal,tonne,USD,7103.0045
2010-01-13,2010,1,Copper,industrial_metal,tonne,USD,7103.6019
2010-01-14,2010,1,Copper,industrial_metal,tonne,USD,7158.2998
2010-01-15,2010,1,Copper,industrial_metal,tonne,USD,7056.1353
2010-01-18,2010,1,Copper,industrial_metal,tonne,USD,7280.134
2010-01-19,2010,1,Copper,industrial_metal,tonne,USD,7457.982
2010-01-20,2010,1,Copper,industrial_metal,tonne,USD,7480.9205
2010-01-21,2010,1,Copper,industrial_metal,tonne,USD,7699.9439
2010-01-22,2010,1,Copper,industrial_metal,tonne,USD,7766.3057
2010-01-25,2010,1,Copper,industrial_metal,tonne,USD,7568.9314
2010-01-26,2010,1,Copper,industrial_metal,tonne,USD,7638.7948
2010-01-27,2010,1,Copper,industrial_metal,tonne,USD,7446.3018
2010-01-28,2010,1,Copper,industrial_metal,tonne,USD,7630.3476
2010-01-29,2010,1,Copper,industrial_metal,tonne,USD,7614.7497
2010-02-01,2010,2,Copper,industrial_metal,tonne,USD,7578.8745
2010-02-02,2010,2,Copper,industrial_metal,tonne,USD,7455.5727
2010-02-03,2010,2,Copper,industrial_metal,tonne,USD,7708.6689
2010-02-04,2010,2,Copper,industrial_metal,tonne,USD,7667.1686
2010-02-05,2010,2,Copper,industrial_metal,tonne,USD,7580.5893
2010-02-08,2010,2,Copper,industrial_metal,tonne,USD,7525.4152
2010-02-09,2010,2,Copper,industrial_metal,tonne,USD,7646.415
2010-02-10,2010,2,Copper,industrial_metal,tonne,USD,7719.9941
2010-02-11,2010,2,Copper,industrial_metal,tonne,USD,7793.3523
2010-02-12,2010,2,Copper,industrial_metal,tonne,USD,7861.005
2010-02-15,2010,2,Copper,industrial_metal,tonne,USD,8258.5101
2010-02-16,2010,2,Copper,industrial_metal,tonne,USD,8092.6094
2010-02-17,2010,2,Copper,industrial_metal,tonne,USD,7932.8859
