Date,Price,Open,High,Low,Vol.,Change %
2026-08-28,"3,186.00","3,186.00","3,186.00","3,186.00",,2.54%
2026-08-27,"3,107.00","3,107.00","3,107.00","3,107.00",,1.67%
2026-08-26,"3,056.00","3,056.00","3,056.00","3,056.00",,4.44%
2026-08-25,"2,926.00","2,926.00","2,926.00","2,926.00",,1.53%
2026-08-24,"2,882.00","2,882.00","2,882.00","2,882.00",,1.44%
2026-08-21,"2,841.00","2,841.00","2,841.00","2,841.00",,1.79%
2026-08-20,"2,791.00","2,791.00","2,791.00","2,791.00",,0.54%
2026-08-19,"2,776.00","2,776.00","2,776.00","2,776.00",,-1.39%
2026-08-18,"2,815.00","2,815.00","2,815.00","2,815.00",,-2.19%
2026-08-17,"2,878.00","2,878.00","2,878.00","2,878.00",,0.52%
2026-08-14,"2,863.00","2,863.00","2,863.00","2,863.00",,0.67%
2026-08-13,"2,844.00","2,844.00","2,844.00","2,844.00",,-3.23%
2026-08-12,"2,939.00","2,939.00","2,939.00","2,939.00",,-3.51%
2026-08-11,"3,046.00","3,046.00","3,046.00","3,046.00",,-1.20%
2026-08-10,"3,083.00","3,083.00","3,083.00","3,083.00",,-0.19%
2026-08-07,"3,089.00","3,089.00","3,089.00","3,089.00",,1.05%
2026-08-06,"3,057.00","3,057.00","3,057.00","3,057.00",,-0.20%
2026-08-05,"3,063.00","3,063.00","3,063.00","3,063.00",,4.33%
2026-08-04,"2,936.00","2,936.00","2,936.00","2,936.00",,3.27%
2026-08-03,"2,843.00","2,843.00","2,843.00","2,843.00",,4.06%
2026-07-31,"2,732.00","2,732.00","2,732.00","2,732.00",,2.21%
2026-07-30,"2,673.00","2,673.00","2,673.00","2,673.00",,1.56%
2026-07-29,"2,632.00","2,632.00","2,632.00","2,632.00",,-1.20%
2026-07-28,"2,664.00","2,664.00","2,664.00","2,664.00",,-1.19%
2026-07-27,"2,696.00","2,696.00","2,696.00","2,696.00",,-1.71%
2026-07-24,"2,743.00","2,743.00","2,743.00","2,743.00",,0.66%
2026-07-23,"2,725.00","2,725.00","2,725.00","2,725.00",,0.37%
2026-07-22,"2,715.00","2,715.00","2,715.00","2,715.00",,1.69%
2026-07-21,"2,670.00","2,670.00","2,670.00","2,670.00",,-0.04%
2026-07-20,"2,671.00","2,671.00","2,671.00","2,671.00",,-2.94%
2026-07-17,"2,752.00","2,752.00","2,752.00","2,752.00",,-3.10%
2026-07-16,"2,840.00","2,840.00","2,840.00","2,840.00",,-3.04%
2026-07-15,"2,929.00","2,929.00","2,929.00","2,929.00",,-1.71%
2026-07-14,"2,980.00","2,980.00","2,980.00","2,980.00",,0.68%
2026-07-13,"2,960.00","2,960.00","2,960.00","2,960.00",,0.54%
2026-07-10,"2,944.00","2,944.00","2,944.00","2,944.00",,1.17%
2026-07-09,"2,910.00","2,910.00","2,910.00","2,910.00",,1.36%
2026-07-08,"2,871.00","2,871.00","2,871.00","2,871.00",,-0.14%
2026-07-07,"2,875.00","2,875.00","2,875.00","2,875.00",,2.79%
2026-07-06,"2,797.00","2,797.00","2,797.00","2,797.00",,2.94%
2026-07-03,"2,717.00","2,717.00","2,717.00","2,717.00",,2.53%
2026-07-02,"2,650.00","2,650.00","2,650.00","2,650.00",,3.43%
2026-07-01,"2,562.00","2,562.00","2,562.00","2,562.00",,2.44%
2026-06-30,"2,501.00","2,501.00","2,501.00","2,501.00",,0.44%
2026-06-29,"2,490.00","2,490.00","2,490.00","2,490.00",,-1.35%
2026-06-26,"2,524.00","2,524.00","2,524.00","2,524.00",,-2.59%
2026-06-25,"2,591.00","2,591.00","2,591.00","2,591.00",,-1.63%
2026-06-24,"2,634.00","2,634.00","2,634.00","2,634.00",,-1.24%
2026-06-23,"2,667.00","2,667.00","2,667.00","2,667.00",,-0.63%
2026-06-22,"2,684.00","2,684.00","2,684.00","2,684.00",,-1.40%
2026-06-19,"2,722.00","2,722.00","2,722.00","2,722.00",,2.37%
2026-06-18,"2,659.00","2,659.00","2,659.00","2,659.00",,0.23%
2026-06-17,"2,653.00","2,653.00","2,653.00","2,653.00",,-0.64%
2026-06-16,"2,670.00","2,670.00","2,670.00","2,670.00",,-1.84%
2026-06-15,"2,720.00","2,729.00","2,729.00","2,720.00",,-3.48%
2026-06-09,"2,818.00","2,818.00","2,818.00","2,818.00",,-3.36%
