Date,Price,Open,High,Low,Vol.,Change %
2026-08-28,131.2,131.2,131.2,131.2,,-0.04%
2026-08-27,131.25,131.25,131.25,131.25,,0.00%
2026-08-26,131.25,131.25,131.25,131.25,,-0.30%
2026-08-25,131.65,131.65,131.65,131.65,,0.11%
2026-08-24,131.5,131.5,131.5,131.5,,0.00%
2026-08-21,131.5,131.5,131.5,131.5,,0.77%
2026-08-20,130.5,130.5,130.5,130.5,0.01K,0.58%
2026-08-19,129.75,129.75,129.75,129.75,,0.00%
2026-08-18,129.75,129.75,129.75,129.75,0.01K,0.35%
2026-08-17,129.3,129.3,129.3,129.3,,0.04%
2026-08-14,129.25,129.25,129.25,129.25,0.01K,-0.12%
2026-08-13,129.4,129.4,129.4,129.4,,-0.08%
2026-08-12,129.5,129.5,129.5,129.5,0.02K,0.15%
2026-08-11,129.3,129.0,129.0,129.0,0.08K,0.23%
2026-08-10,129.0,129.0,129.0,129.0,0.02K,0.90%
2026-08-07,127.85,127.85,127.85,127.85,,-0.31%
2026-08-06,128.25,128.25,128.25,128.25,0.01K,-0.43%
2026-08-05,128.8,130.0,130.0,129.0,0.06K,-1.57%
2026-08-04,130.85,130.85,130.85,130.85,0.07K,-1.25%
2026-08-03,132.5,132.5,132.5,132.5,0.20K,1.81%
2026-07-31,130.15,130.15,130.15,130.15,,-0.27%
2026-07-30,130.5,130.5,130.5,130.5,,0.23%
2026-07-29,130.2,130.2,130.2,130.2,,-0.04%
2026-07-28,130.25,130.25,130.25,130.25,,-0.04%
2026-07-27,130.3,130.3,130.3,130.3,,-0.23%
2026-07-24,130.6,130.6,130.6,130.6,0.01K,-0.11%
2026-07-23,130.75,130.75,130.75,130.75,,-0.08%
2026-07-22,130.85,130.85,130.85,130.85,0.01K,-0.04%
2026-07-21,130.9,130.9,130.9,130.9,,0.38%
2026-07-20,130.4,130.4,130.4,130.4,,0.31%
2026-07-17,130.0,129.25,129.75,129.25,0.03K,0.12%
2026-07-16,129.85,130.4,130.4,130.4,0.03K,0.85%
2026-07-15,128.75,128.75,128.75,128.75,,0.82%
2026-07-14,127.7,129.95,129.95,129.65,0.02K,-0.78%
2026-07-13,128.7,129.25,129.25,129.0,0.03K,0.08%
2026-07-10,128.6,128.5,128.5,128.5,0.01K,-1.04%
2026-07-09,129.95,129.25,129.75,129.25,0.02K,0.66%
2026-07-08,129.1,128.75,128.75,128.75,0.04K,0.86%
2026-07-07,128.0,128.0,128.0,127.5,0.05K,-0.31%
2026-07-06,128.4,128.4,128.4,128.4,0.01K,-0.31%
2026-07-03,128.8,128.8,128.8,128.8,0.03K,-0.23%
2026-07-02,129.1,129.25,129.25,129.25,0.00K,-0.39%
2026-07-01,129.6,132.0,132.0,129.75,0.10K,-0.04%
2026-06-30,129.65,129.0,129.0,129.0,0.17K,1.53%
2026-06-29,127.7,127.5,127.85,127.0,0.09K,-10.95%
2026-06-26,143.4,143.4,143.4,143.4,,0.14%
2026-06-25,143.2,143.2,143.2,143.2,,-0.24%
2026-06-24,143.55,143.55,143.55,143.55,,-0.28%
2026-06-23,143.95,143.95,143.95,143.95,,0.03%
2026-06-22,143.9,143.9,143.9,143.9,,-0.07%
2026-06-19,144.0,144.0,144.0,144.0,0.02K,0.00%
2026-06-18,144.0,144.0,144.0,144.0,0.03K,0.14%
2026-06-17,143.8,144.5,144.5,144.5,0.00K,-0.83%
2026-06-16,145.0,145.5,145.5,145.5,0.02K,-0.92%
2026-06-15,146.35,146.35,146.35,146.35,0.01K,-1.71%
2026-06-12,148.9,149.25,149.25,147.5,0.03K,-1.88%
2026-06-11,151.75,151.75,151.75,151.75,,0.53%
2026-06-10,150.95,150.0,150.0,149.25,0.05K,0.50%
2026-06-09,150.2,151.5,152.0,150.25,0.01K,-0.69%
2026-06-08,151.25,151.0,152.25,151.0,0.20K,1.68%
2026-06-05,148.75,149.75,149.75,149.65,0.05K,0.81%
2026-06-04,147.55,150.0,150.0,147.5,0.04K,0.89%
2026-06-03,146.25,144.5,146.75,144.5,0.12K,3.50%
2026-06-02,141.3,144.5,144.5,142.25,0.06K,0.71%
2026-06-01,140.3,140.0,140.0,139.9,0.06K,6.90%
2026-05-29,131.25,131.25,131.25,131.25,,-0.19%
2026-05-28,131.5,131.5,131.5,131.5,,-0.19%
2026-05-27,131.75,131.75,131.75,131.75,0.00K,-0.64%
2026-05-26,132.6,134.0,134.0,134.0,0.00K,0.42%
2026-05-25,132.05,132.05,132.05,132.05,,0.00%
2026-05-22,132.05,132.05,132.05,132.05,,0.00%
2026-05-21,132.05,132.05,132.05,132.05,,-0.30%
2026-05-20,132.45,132.0,132.0,132.0,0.01K,0.04%
2026-05-19,132.4,134.5,134.5,134.5,0.00K,-0.08%
2026-05-18,132.5,135.0,135.0,132.25,0.01K,0.61%
2026-05-15,131.7,131.7,131.7,131.7,,1.00%
2026-05-14,130.4,131.1,131.1,131.1,0.00K,-0.57%
2026-05-13,131.15,131.15,131.15,131.15,,-1.02%
2026-05-12,132.5,132.5,132.5,132.5,0.02K,1.26%
2026-05-11,130.85,130.85,130.85,130.85,,-0.68%
2026-05-08,131.75,131.75,131.75,131.75,,-0.34%
2026-05-07,132.2,132.0,132.0,132.0,0.02K,0.11%
2026-05-06,132.05,132.0,132.0,132.0,0.01K,-1.75%
2026-05-05,134.4,134.5,134.5,134.5,0.01K,-0.85%
2026-05-04,135.55,135.55,135.55,135.55,,1.23%
2026-05-01,133.9,133.9,133.9,133.9,,-0.07%
2026-04-30,134.0,134.25,134.25,134.0,0.02K,0.26%
2026-04-29,133.65,133.25,133.25,133.25,0.12K,1.83%
2026-04-28,131.25,133.0,133.5,133.0,0.08K,-0.76%
2026-04-27,132.25,130.4,130.5,130.4,0.03K,-1.08%
2026-04-24,133.7,133.7,133.7,133.7,,0.34%
