Date,Price,Open,High,Low,Vol.,Change %
2026-08-31,96.05,96.05,96.05,96.05,,0.22%
2026-08-28,95.84,95.84,95.84,95.84,,0.17%
2026-08-27,95.68,95.68,95.68,95.68,,0.10%
2026-08-26,95.58,95.58,95.58,95.58,,0.19%
2026-08-25,95.4,95.4,95.4,95.4,,0.06%
2026-08-24,95.34,95.34,95.34,95.34,,0.14%
2026-08-21,95.21,95.21,95.21,95.21,,0.05%
2026-08-20,95.16,95.16,95.16,95.16,,-0.01%
2026-08-19,95.17,95.17,95.17,95.17,,-0.12%
2026-08-18,95.28,95.28,95.28,95.28,,0.35%
2026-08-17,94.95,94.95,94.95,94.95,,-0.23%
2026-08-14,95.17,95.17,95.17,95.17,,0.13%
2026-08-13,95.05,95.05,95.05,95.05,,-0.04%
2026-08-12,95.09,95.09,95.09,95.09,,0.01%
2026-08-11,95.08,95.08,95.08,95.08,,0.56%
2026-08-10,94.55,94.55,94.55,94.55,,0.11%
2026-08-07,94.45,94.45,94.45,94.45,,-0.87%
2026-08-06,95.28,95.28,95.28,95.28,,1.46%
2026-08-05,93.91,93.91,93.91,93.91,,0.22%
2026-08-04,93.7,93.7,93.7,93.7,,0.04%
2026-08-03,93.66,93.66,93.66,93.66,,-4.43%
2026-07-31,98.0,98.0,98.0,98.0,,-0.25%
2026-07-30,98.25,98.25,98.25,98.25,,-0.02%
2026-07-29,98.27,98.27,98.27,98.27,,-0.03%
2026-07-28,98.3,98.3,98.3,98.3,,-0.05%
2026-07-27,98.35,98.35,98.35,98.35,,-0.07%
2026-07-24,98.42,98.42,98.42,98.42,,-0.05%
2026-07-23,98.47,98.47,98.47,98.47,,0.09%
2026-07-22,98.38,98.38,98.38,98.38,,-0.27%
2026-07-21,98.65,98.65,98.65,98.65,,-0.05%
2026-07-20,98.7,98.7,98.7,98.7,,-0.18%
2026-07-17,98.88,98.88,98.88,98.88,,0.07%
2026-07-16,98.81,98.81,98.81,98.81,,-0.07%
2026-07-15,98.88,98.88,98.88,98.88,,-0.04%
2026-07-14,98.92,98.92,98.92,98.92,,0.62%
2026-07-13,98.31,98.31,98.31,98.31,,-0.42%
2026-07-10,98.72,98.72,98.72,98.72,,0.15%
2026-07-09,98.57,98.57,98.57,98.57,,-0.29%
2026-07-08,98.86,98.86,98.86,98.86,,0.86%
2026-07-07,98.02,98.02,98.02,98.02,,-0.28%
2026-07-06,98.3,98.3,98.3,98.3,,0.05%
2026-07-02,98.25,98.25,98.25,98.25,,-0.11%
2026-07-01,98.36,98.36,98.36,98.36,,-1.84%
2026-06-30,100.2,100.2,100.2,100.2,,-0.06%
2026-06-29,100.26,100.26,100.26,100.26,,-0.07%
2026-06-26,100.33,100.33,100.33,100.33,,-0.04%
