Date,Price,Open,High,Low,Vol.,Change %
2026-09-04,94.49,94.49,94.525,94.455,,0.00%
2026-09-03,94.49,94.305,94.496,94.29,,-0.51%
2026-09-02,94.975,94.96,94.98,94.845,,0.02%
2026-09-01,94.96,95.005,95.1,94.8,,-0.22%
2026-08-31,95.167,95.495,95.495,95.11,,-0.22%
2026-08-28,95.38,95.545,95.575,95.325,,-0.17%
2026-08-27,95.545,95.425,95.565,95.403,,0.13%
2026-08-26,95.425,95.425,95.425,95.425,,0.01%
2026-08-25,95.417,95.7,95.74,95.41,,-0.35%
2026-08-24,95.75,95.645,95.75,95.644,,0.05%
2026-08-21,95.7,95.71,95.754,95.663,,-0.01%
2026-08-20,95.71,95.568,95.72,95.568,,-0.05%
2026-08-19,95.758,95.685,95.768,95.685,,0.08%
2026-08-18,95.685,95.61,95.688,95.61,,0.08%
2026-08-17,95.61,95.483,95.62,95.483,,0.17%
2026-08-14,95.45,95.45,95.451,95.383,,0.00%
2026-08-13,95.45,95.34,95.452,95.34,,0.12%
2026-08-12,95.34,95.405,95.436,95.26,,-0.10%
2026-08-11,95.44,95.31,95.452,95.31,,0.14%
2026-08-10,95.305,95.175,95.305,95.175,,0.10%
2026-08-07,95.21,95.28,95.365,95.2,,0.05%
2026-08-06,95.16,95.135,95.244,95.12,,0.04%
2026-08-05,95.12,94.925,95.253,94.923,,-0.28%
2026-08-04,95.383,95.34,95.393,95.253,,0.05%
2026-08-03,95.34,95.145,95.355,95.123,,-0.05%
2026-07-31,95.39,95.39,95.473,95.255,,-0.31%
2026-07-30,95.685,95.598,95.755,95.574,,0.03%
2026-07-29,95.653,95.725,95.79,95.485,,-0.21%
2026-07-28,95.858,95.91,95.91,95.637,,-0.06%
2026-07-27,95.915,96.175,96.278,95.79,,-0.68%
2026-07-24,96.568,96.635,96.655,96.348,,-0.01%
2026-07-23,96.578,96.57,96.578,96.458,,0.01%
2026-07-22,96.57,96.348,96.575,96.255,,0.34%
2026-07-21,96.24,96.415,96.417,96.13,,-0.22%
2026-07-20,96.45,96.405,96.53,96.365,,0.17%
2026-07-17,96.285,96.31,96.4,96.27,,-0.07%
2026-07-16,96.35,96.26,96.375,96.225,,0.09%
2026-07-15,96.26,96.178,96.309,96.055,,0.06%
2026-07-14,96.205,95.95,96.243,95.95,,0.61%
2026-07-13,95.625,95.678,95.855,95.593,,0.31%
2026-07-10,95.33,95.39,95.419,95.222,,-0.06%
2026-07-09,95.39,95.555,95.572,95.28,,-0.18%
2026-07-08,95.56,95.178,95.602,94.99,,0.62%
2026-07-07,94.97,95.4,95.4,94.965,,-0.45%
2026-07-06,95.4,95.235,95.48,95.215,,0.19%
2026-07-03,95.215,95.4,95.4,95.165,,-0.19%
2026-07-02,95.4,94.933,95.401,94.933,,0.15%
2026-07-01,95.253,94.665,95.285,94.62,,0.62%
2026-06-30,94.665,94.545,94.76,94.521,,0.13%
2026-06-29,94.545,94.355,94.555,94.253,,0.20%
2026-06-26,94.36,94.36,94.36,94.36,,-0.04%
2026-06-25,94.4,94.305,94.545,94.155,,-0.29%
2026-06-24,94.67,94.9,94.92,94.6,,-0.07%
2026-06-23,94.74,94.68,94.915,94.635,,0.06%
2026-06-22,94.683,94.36,94.755,94.245,,0.38%
2026-06-19,94.325,94.34,94.528,94.205,,-0.01%
2026-06-18,94.338,94.665,94.708,94.185,,-0.20%
2026-06-17,94.53,94.46,94.6,94.288,,-0.05%
2026-06-16,94.575,94.618,94.721,94.49,,-0.15%
2026-06-15,94.715,94.73,94.776,94.458,,-0.42%
2026-06-12,95.11,95.76,95.76,94.95,,-0.68%
2026-06-11,95.765,95.525,95.765,95.525,,0.52%
2026-06-10,95.27,95.545,95.568,95.085,,-0.09%
2026-06-09,95.36,95.725,95.725,95.233,,-0.37%
2026-06-08,95.713,95.325,95.727,95.163,,0.80%
2026-06-05,94.95,95.718,95.775,94.89,,-0.88%
2026-06-04,95.79,95.705,95.795,95.6,,0.08%
2026-06-03,95.71,95.27,95.8,95.27,,0.46%
2026-06-02,95.27,95.06,95.288,95.031,,0.29%
2026-06-01,94.995,94.975,95.042,94.733,,-0.02%
2026-05-29,95.01,95.695,95.695,94.961,,-0.72%
2026-05-28,95.695,95.7,95.7,95.693,,-0.01%
2026-05-27,95.7,95.755,95.798,95.655,,0.01%
