port_name,country,port_type,max_draft_m,max_loa_m,max_beam_m,handling_rate_tpd,max_vessel_class,latitude,longitude,tidal_range_m,berths,annual_capacity_mt,restrictions
Paradip,India,Discharge,16.5,300,46,35000,Capesize,20.2700,86.7100,1.5,14,65,"Cyclone risk Oct-Dec; siltation issues"
Visakhapatnam (Inner),India,Discharge,14.5,240,32.5,20000,Panamax,17.7100,83.3300,1.2,24,40,"Limited to Panamax due to inner harbor constraints"
Visakhapatnam (Outer/VGCB),India,Discharge,18.1,356,50,70000,Capesize,17.7000,83.2800,1.2,6,25,"Deep draft outer berth; handles large Capesize"
Gangavaram,India,Discharge,19.5,320,48,45000,Capesize,17.6200,83.2300,1.0,8,30,"Adani port; deep water; 24/7 operations"
Dhamra,India,Discharge,18.0,310,48,50000,Capesize,20.7800,87.1300,1.8,4,20,"Deep draft; cyclone shelter nearby"
Gopalpur,India,Discharge,14.5,230,33,18000,Supramax,19.2800,84.9200,1.3,3,12,"Smaller port; Supramax/Handysize only"
Haldia Dock Complex,India,Discharge,8.5,230,32.26,12000,Handysize,22.0300,88.1000,2.5,12,15,"Severe draft restriction; tidal window critical"
Port Hedland (Inner),Australia,Loading,19.8,340,50,85000,Capesize,-20.3100,118.5800,1.5,18,520,"World's largest iron ore port; tidal range 1.5m"
Port Hedland (Outer),Australia,Loading,21.0,360,55,95000,Capesize,-20.3100,118.5800,1.5,4,180,"New large berths; deeper channel"
Dampier,Western Australia,Loading,19.5,340,50,80000,Capesize,-20.6600,116.7100,2.0,8,250,"Rio Tinto iron ore; tidal range 4m"
Cape Lambert,Western Australia,Loading,19.5,340,50,80000,Capesize,-20.6600,116.7100,2.0,4,180,"Rio Tinto; similar to Dampier"
Hay Point Coal Terminal,Queensland,Loading,19.0,300,47,75000,Capesize,-21.2800,149.3000,1.5,3,120,"BHP coal; 3 berths"
Dalrymple Bay Coal Terminal,Queensland,Loading,19.0,300,47,75000,Capesize,-21.2700,149.2800,1.5,7,200,"World's largest coal terminal; 7 berths"
Gladstone (RG Tanna),Queensland,Loading,19.5,300,48,70000,Capesize,-23.8400,151.2500,1.8,5,150,"Multi-commodity; 5 coal berths"
Gladstone (Barney Point),Queensland,Loading,16.5,275,45,50000,Panamax,-23.8500,151.2600,1.8,2,40,"Older terminal; Panamax constraint"
Newcastle (Kooragang),NSW,Loading,16.5,300,45,55000,Capesize,-32.9200,151.7800,1.3,4,120,"Major coal; Capesize-Panamax"
Newcastle (Carrington),NSW,Loading,14.0,250,40,35000,Supramax,-32.9300,151.7700,1.3,2,30,"Smaller channel; limited draft"
Brisbane (Fisherman Islands),Queensland,Loading,14.5,260,42,30000,Panamax,-27.3800,153.1700,1.5,6,50,"Multi-commodity; limited depth"
Abbot Point,Queensland,Loading,17.5,290,46,60000,Capesize,-19.8800,148.0500,1.2,2,60,"Deepwater coal; expansion planned"
Taboneo Anchorage,Indonesia,Loading,14.0,240,38,25000,Panamax,-3.7300,114.4500,2.0,2,30,"South Kalimantan coal; lightering operations"
Samarinda (Mahakam River),Indonesia,Loading,13.5,220,35,20000,Supramax,-0.5000,117.1500,2.5,4,25,"River port; restricted beam"
Balikpapan,Indonesia,Loading,13.0,210,33,18000,Supramax,-1.2400,116.9100,2.0,3,20,"East Kalimantan; shallow approach"
Adang Bay,Indonesia,Loading,14.5,240,38,28000,Panamax,-1.5000,116.5000,1.5,1,15,"Deepwater anchorage for coal loading"
Richards Bay Coal Terminal,South Africa,Loading,17.5,300,47,65000,Capesize,-28.7900,32.0500,1.5,4,90,"Africa's largest coal; 4 berths"
Maputo (Matola Coal Terminal),Mozambique,Loading,13.5,230,32.2,20000,Panamax,-25.9700,32.5900,2.5,2,15,"Bottleneck port; rail constraints"
Beira (Pebane),Mozambique,Loading,14.0,240,35,22000,Panamax,-19.8400,34.8600,2.0,2,12,"Coal loading; limited capacity"
Durban (Coal Terminal),South Africa,Loading,15.0,260,40,25000,Panamax,-29.8700,31.0100,1.5,4,20,"Multi-commodity; rail congestion"
Baltimore (Dundalk Terminal),USA,Loading,15.2,290,45,40000,Capesize,-39.2600,76.5800,0.5,6,40,"Coal exports; 50ft channel"
Baltimore (Curtis Bay),USA,Loading,14.5,260,40,35000,Panamax,-39.2300,76.5700,0.5,3,25,"Smaller berths; limited LOA"
Norfolk (Lamberts Point),USA,Loading,16.5,300,48,45000,Capesize,-36.8800,76.3100,0.5,6,70,"World's largest coal transshipment"
Norfolk (Pier 6),USA,Loading,15.5,280,45,40000,Capesize,-36.8900,76.3200,0.5,2,30,"Deep channel; restricted LOA"
Mobile,USA,Loading,14.0,250,40,30000,Panamax,-30.6900,88.0500,0.8,4,25,"Gulf port; limited draft"
New Orleans,USA,Loading,13.7,230,35,25000,Supramax,-29.9500,90.0700,0.6,8,30,"Mississippi River constraints"
Vancouver (Westshore),Canada,Loading,17.5,300,48,50000,Capesize,-49.2900,123.1200,2.0,3,40,"Coal terminal; deep water"
Prince Rupert,Canada,Loading,16.5,280,46,45000,Capesize,-54.3200,130.3300,3.0,2,25,"Deep water; growing coal exports"
