date,port_name,country,port_type,waiting_days_at_anchorage,waiting_days_at_berth,turn_around_time_days,berth_occupancy_pct,vessels_at_anchorage,source_note
2026-09-06,Baltimore / Norfolk,USA,Loading,0.22,0.37,3.59,79,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-09-05,Baltimore / Norfolk,USA,Loading,0.24,0.31,3.55,78,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-09-04,Baltimore / Norfolk,USA,Loading,0.21,0.3,3.51,77,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-09-03,Baltimore / Norfolk,USA,Loading,0.23,0.32,3.55,78,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-09-02,Baltimore / Norfolk,USA,Loading,0.22,0.27,3.48,76,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-09-01,Baltimore / Norfolk,USA,Loading,0.34,0.42,3.76,85,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-31,Baltimore / Norfolk,USA,Loading,0.2,0.31,3.51,77,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-30,Baltimore / Norfolk,USA,Loading,0.22,0.29,3.52,77,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-29,Baltimore / Norfolk,USA,Loading,0.2,0.26,3.46,75,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-28,Baltimore / Norfolk,USA,Loading,0.25,0.33,3.58,79,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-27,Baltimore / Norfolk,USA,Loading,0.22,0.32,3.54,77,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-26,Baltimore / Norfolk,USA,Loading,0.3,0.42,3.71,83,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-25,Baltimore / Norfolk,USA,Loading,0.29,0.36,3.65,81,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-24,Baltimore / Norfolk,USA,Loading,0.21,0.27,3.48,75,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-23,Baltimore / Norfolk,USA,Loading,0.18,0.25,3.43,74,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-22,Baltimore / Norfolk,USA,Loading,0.25,0.37,3.62,80,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-21,Baltimore / Norfolk,USA,Loading,0.24,0.34,3.58,79,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-20,Baltimore / Norfolk,USA,Loading,0.14,0.24,3.39,72,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-19,Baltimore / Norfolk,USA,Loading,0.23,0.3,3.54,77,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-18,Baltimore / Norfolk,USA,Loading,0.23,0.43,3.65,81,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-17,Baltimore / Norfolk,USA,Loading,0.16,0.24,3.41,73,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-16,Baltimore / Norfolk,USA,Loading,0.18,0.32,3.5,76,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-15,Baltimore / Norfolk,USA,Loading,0.17,0.27,3.45,74,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-14,Baltimore / Norfolk,USA,Loading,0.2,0.29,3.49,76,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-13,Baltimore / Norfolk,USA,Loading,0.23,0.35,3.59,79,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-12,Baltimore / Norfolk,USA,Loading,0.21,0.34,3.55,78,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-11,Baltimore / Norfolk,USA,Loading,0.2,0.37,3.57,78,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-10,Baltimore / Norfolk,USA,Loading,0.2,0.29,3.49,76,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-09,Baltimore / Norfolk,USA,Loading,0.32,0.46,3.78,86,2,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-08,Baltimore / Norfolk,USA,Loading,0.21,0.31,3.52,77,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-07,Baltimore / Norfolk,USA,Loading,0.18,0.28,3.46,75,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-06,Baltimore / Norfolk,USA,Loading,0.25,0.41,3.66,81,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-05,Baltimore / Norfolk,USA,Loading,0.2,0.33,3.53,77,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-04,Baltimore / Norfolk,USA,Loading,0.24,0.34,3.58,79,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-03,Baltimore / Norfolk,USA,Loading,0.32,0.44,3.75,85,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
