date,port_name,country,region_cluster,monsoon_risk_level,cyclone_risk_level,typical_disruption_days,notes
2026-09-06,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.215,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-09-05,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.314,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-09-04,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.258,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-09-03,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.195,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-09-02,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.176,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-09-01,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.222,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-31,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.202,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-30,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.336,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-29,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.307,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-28,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.165,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-27,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.325,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-26,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.202,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-25,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.29,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-24,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.15,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-23,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.327,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-22,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.244,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-21,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.179,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-20,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.177,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-19,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.185,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-18,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.322,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-17,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.248,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-16,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.262,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-15,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.216,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-14,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.331,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-13,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.275,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-12,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.271,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-11,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.317,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-10,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.196,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
