"Date","Price","Open","High","Low","Vol.","Change %"
"23-08-2026","131.20","131.50","131.65","131.20","","-0.23%"
"16-08-2026","131.50","129.30","131.50","129.30","0.02K","1.74%"
"09-08-2026","129.25","129.00","129.50","129.00","0.13K","1.10%"
"02-08-2026","127.85","132.50","132.50","127.85","0.33K","-1.77%"
"26-07-2026","130.15","130.30","130.50","130.15","","-0.34%"
"19-07-2026","130.60","130.40","130.90","130.40","0.02K","0.46%"
"12-07-2026","130.00","129.25","130.40","128.75","0.10K","1.09%"
"05-07-2026","128.60","128.40","129.75","127.50","0.12K","-0.16%"
"28-06-2026","128.80","127.50","132.00","127.00","0.39K","-10.18%"
"21-06-2026","143.40","143.90","143.95","143.20","","-0.42%"
"14-06-2026","144.00","146.35","146.35","144.00","0.08K","-3.29%"
"07-06-2026","148.90","151.00","152.25","147.50","0.28K","0.10%"
"31-05-2026","148.75","140.00","150.00","139.90","0.33K","13.33%"
"24-05-2026","131.25","132.05","134.00","131.25","0.00K","-0.61%"
"17-05-2026","132.05","135.00","135.00","132.00","0.02K","0.27%"
"10-05-2026","131.70","130.85","132.50","130.85","0.02K","-0.04%"
"03-05-2026","131.75","135.55","135.55","131.75","0.03K","-1.61%"
"26-04-2026","133.90","130.40","134.25","130.40","0.24K","0.15%"
"19-04-2026","133.70","132.60","133.75","132.60","0.10K","1.06%"
"12-04-2026","132.30","135.45","135.45","132.30","0.05K","-1.93%"
"05-04-2026","134.90","137.90","138.50","134.00","0.04K","-2.18%"
"29-03-2026","137.90","146.00","146.25","137.20","0.27K","1.70%"
"22-03-2026","135.60","135.25","136.50","133.05","0.01K","0.18%"
"15-03-2026","135.35","132.30","135.45","130.00","0.33K","0.41%"
"08-03-2026","134.80","138.00","138.00","133.10","0.12K","0.75%"
"01-03-2026","133.80","123.50","140.50","123.50","0.68K","15.54%"
"22-02-2026","115.80","116.50","117.00","115.80","","-0.34%"
"15-02-2026","116.20","116.25","117.05","116.15","0.01K","-0.43%"
"08-02-2026","116.70","115.00","116.70","114.50","0.08K","0.95%"
"01-02-2026","115.60","116.00","116.10","114.70","0.01K","6.15%"
